Material/part,Amount,INR Price(including Tax and shipping),USD price(including tax and shipping),Link,Note
Gateron Hotswap sockets,62 Pieces,₹750,$7.94,https://stackskb.com/store/gateron-hotswap-sockets/,
PLA matte(numakers),1Kg,₹868.5,$9.20,https://india.numakers.com/products/pla-matte?variant=45679205482665,
Key cap set,Set of 1,₹1399,$14.82,https://meckeys.com/shop/accessories/keyboard-accessories/keycaps/comic-style-keycap-set/,
Gateron Mechanical Switches,7 sets(10 per set),₹1260,$13.34,https://www.thecosmicbyte.com/product/gateron-mechanical-switches-compatible-with-cosmic-byte-hot-swappable-keyboards-qty-1pc/?attribute_pa_switch-type=g-pro-3-0-red-pre-lubed,
RaspberryPi_PICO,1 piece,₹552,$5.85,https://sharvielectronics.com/product/raspberry-pi-pico-rp2040-with-basic-kit/,Ordering with diode(so i combined both shiping to make it cheaper
 1N4148W-T4 (Diode),80 pieces(minimum),₹189,$2.00,https://sharvielectronics.com/product/1n4148w-t4-high-speed-fast-switching-diode-sod-123-package/,Ordering with RaspbberyPi_PICO(so i combined both shiping to make it cheaper
Soldering Iron,1 Piece,₹299,$3.17,https://www.amazon.in/THEMISTO-passion-Themisto-Beginners-Soldering/dp/B07PM6134P/ref=sr_1_6?sr=8-6,
Heat resistant gloves(for soldering),1 pair of gloves,₹270,$2.86,https://www.amazon.in/KOOCU-Resistant-Temperature-Breathable-Electronics/dp/B0H7YN7SBV/ref=sr_1_10?sr=8-10,
Stabalizer,1 set,₹730,$7.73,https://neomacro.in/products/cherry-stabilizer-set-geon-and-c3?_pos=3&_sid=9a6134911&_ss=r,
PCB,5(minimum),₹4635,$49.09,https://robu.in/product/online-pcb-manufacturing-service/,
,,,,,
,,,,,
,,,,,
Total cost,,"₹10,952.5",$116.00,,
